id,hash_id,view_url,title,user_nickname,user_hash_id,user_view_url,title_cut
227557,r5r9KNdM0zkx,/app/flow/r5r9KNdM0zkx,收集各类买家秀，锤炼个人意志,本市成熟的生姜,GEV5QAANVW2AL,/app/user/GEV5QAANVW2AL,收集 各类 买家 秀 ， 锤炼 个人 意志
227560,JroVEWlKwEw9,/app/flow/JroVEWlKwEw9,说点关于“四条锦鲤”的趣事？,键圈韭菜皇,m70EQz9jelJmmz,/app/user/m70EQz9jelJmmz,说点 关于 “ 四条 锦鲤 ” 的 趣事 ？
227519,r80vyJp6Xzdx,/app/flow/r80vyJp6Xzdx,发着玩一下，感觉挺有意思的，“不买别问，已读不回拉黑”对人不对己的是这个👍🏻,出远门的Goose🦢,EQGZRle89kVp5,/app/user/EQGZRle89kVp5,发着 玩 一下 ， 感觉 挺 有意思 的 ， “ 不买别 问 ， 已读 不 回拉黑 ” 对 人 不 对己 的 是 这个 👍 🏻
227529,Oz1pPJzY1qO6,/app/flow/Oz1pPJzY1qO6,化身为边界黑子了，龙年厂瑕本来就多，在我把所以瑕疵单个标出来后，仍然要求换货or推荐退货，问题来了，换货后怎么保证没有厂瑕？继续换？客户时间很多吗？我都把瑕疵全标出来了，为什么不能直接补发,无忧,0JbZZGanjjAjEe,/app/user/0JbZZGanjjAjEe,化身为 边界 黑子 了 ， 龙年 厂 瑕 本来 就 多 ， 在 我 把 所以 瑕疵 单个 标出来 后 ， 仍然 要求 换货 or 推荐 退货 ， 问题 来 了 ， 换货 后 怎么 保证 没有 厂 瑕 ？ 继续 换 ？ 客户 时间 很多 吗 ？ 我 都 把 瑕疵 全 标出来 了 ， 为什么 不能 直接 补发
227508,NME0Nb6pJJqr,/app/flow/NME0Nb6pJJqr,"关于PoPom外设上门真实的后续情况说明
在叔叔的见证下，我们发现是因为平台客服转述我的诉求诉的意思有很大偏差，导致PoPom外设认为我要吞货，大概意思就是，把我说的“我肯定是要货的，不过要等你们平台先处罚完商家，我再重新下单。”转述成了“我只要货”，是的没错只有这几个字。
PoPom外设当天来的小哥是带着内胆来的，就其个人而言，我觉得态度很不错，诚意也到位了。店铺不做评价。",精神状态异常,1wYq6YEmxo8Wj8,/app/user/1wYq6YEmxo8Wj8,"关于 PoPom 外设 上门 真实 的 后续 情况 说明 
 在 叔叔 的 见证 下 ， 我们 发现 是因为 平台 客服 转述 我 的 诉求 诉 的 意思 有 很大 偏差 ， 导致 PoPom 外设 认为 我要 吞货 ， 大概 意思 就是 ， 把 我 说 的 “ 我 肯定 是 要 货 的 ， 不过 要 等 你们 平台 先 处罚 完 商家 ， 我 再 重新 下单 。 ” 转述 成 了 “ 我 只要 货 ” ， 是 的 没错 只有 这 几个 字 。 
 PoPom 外设 当天 来 的 小哥 是 带 着 内胆 来 的 ， 就 其 个人 而言 ， 我 觉得 态度 很 不错 ， 诚意 也 到位 了 。 店铺 不 做 评价 。"
227481,dAE1Ag3WgWP9,/app/flow/dAE1Ag3WgWP9,"发一个抽象的事情 ENCE 出的AB80 Wooting80外壳
开团时间很早 付款文档页面说了发货时间2024年12月中旬
现在东西已经拖了差不多一个月了 
玩家三番五次在群里催 
我没素质 我脾气不好 直接就移除群聊
各种踢皮球
图上面：外壳毛刺、上色问题、工人问题、包装问题，难道这些事情是由消费者上车的玩家买单的吗？
怎么着，现在开团都是 先收完钱 钱攒够了再去开工吗？
ENCE挺有意思的",凛寒e9,Rrx0OLKGqVRKGG,/app/user/Rrx0OLKGqVRKGG,"发 一个 抽象 的 事情   ENCE   出 的 AB80   Wooting80 外壳 
 开团 时间 很早   付款 文档 页面 说 了 发货 时间 2024 年 12 月 中旬 
 现在 东西 已经 拖 了 差不多 一个月 了   
 玩家 三番五次 在 群里 催   
 我 没 素质   我 脾气 不好   直接 就 移除 群聊 
 各种 踢皮球 
 图 上面 ： 外壳 毛刺 、 上 色 问题 、 工人 问题 、 包装 问题 ， 难道 这些 事情 是 由 消费者 上车 的 玩家 买单 的 吗 ？ 
 怎么着 ， 现在 开团 都 是   先 收完 钱   钱攒够 了 再 去 开工 吗 ？ 
 ENCE 挺 有意思 的"
227423,YEMyWXZzGXd1,/app/flow/YEMyWXZzGXd1,"年尾了碰见个老鼠跑单哥，从12月27号下单至今，一直在等他发货，结果等来了跑单加拉黑………
 全程在购买沟通中我的态度都挺好，他说出差晚几天发货，我就等着，到第10天的时候才问了他一下什么时候方便发货，结果这人就一直已读不回，到今天突然看见我被拉黑跑单了。 
给大伙避个雷，跑路加拉黑这种下水道老鼠行为真是太小学生了，还有这哥们也蛮乐子的，我连你好友都有，你还能有这种骚操作啊？我懒得微信直接点破你，真有够小丑的，你就是我2024年玩键盘碰见的最大的笑话哈哈哈哈哈哈哈哈哈",老鼠跑单哥 孩子你无敌了,Qp671GK18olJZ,/app/user/Qp671GK18olJZ,"年 尾 了 碰见 个 老鼠 跑 单哥 ， 从 12 月 27 号 下单 至今 ， 一直 在 等 他 发货 ， 结果 等 来 了 跑 单 加拉 黑 … … … 
   全程 在 购买 沟通 中 我 的 态度 都 挺 好 ， 他 说 出差 晚 几天 发货 ， 我 就 等 着 ， 到 第 10 天 的 时候 才 问 了 他 一下 什么 时候 方便 发货 ， 结果 这人 就 一直 已读 不回 ， 到 今天 突然 看见 我 被 拉 黑 跑 单 了 。   
 给 大伙 避个 雷 ， 跑 路 加拉 黑 这种 下水道 老鼠 行为 真是太 小学生 了 ， 还有 这 哥们 也 蛮 乐子 的 ， 我 连 你 好友 都 有 ， 你 还 能 有 这种 骚 操作 啊 ？ 我 懒得 微信 直接 点破 你 ， 真有够 小丑 的 ， 你 就是 我 2024 年 玩 键盘 碰见 的 最大 的 笑话 哈哈哈 哈哈哈 哈哈哈"
227393,Q7pMjOwGaAWv,/app/flow/Q7pMjOwGaAWv,"有典狱长急了
抄设计就算了怎么还抄文案的啊。你这踢人速度这么快的吗。敢做不敢认是吧，之前不还在群里说不换名的吗？现在卖299的漏轴基础套件，一个亚克力盖板要一百二三，不是割韭菜吗？之前不还大言不惭说别人割韭菜？",Nante,rd0nXqVvlXlpA,/app/user/rd0nXqVvlXlpA,"有 典狱长 急 了 
 抄 设计 就算 了 怎么 还 抄 文案 的 啊 。 你 这 踢 人 速度 这么 快 的 吗 。 敢 做 不敢 认是 吧 ， 之前 不 还 在 群里 说 不 换名 的 吗 ？ 现在 卖 299 的 漏 轴 基础 套件 ， 一个 亚克力 盖板 要 一百二 三 ， 不是 割 韭菜 吗 ？ 之前 不 还 大言不惭 说 别人 割 韭菜 ？"
227379,QRVgoYdbJpgQ,/app/flow/QRVgoYdbJpgQ,"不然呢？都“公模设计”了，价格还高于雨75，不批判还指望着人们夸它物有所值？
键圈确实好割。",August Dvorak,GP7vndLa1nRB1,/app/user/GP7vndLa1nRB1,"不然 呢 ？ 都 “ 公模 设计 ” 了 ， 价格 还 高于 雨 75 ， 不 批判 还 指望 着 人们 夸它 物有所值 ？ 
 键圈 确实 好割 。"
227386,5ZpYJ0OrVE9k,/app/flow/5ZpYJ0OrVE9k,"上bread75的真不怕背刺嘛

韭菜65教训还不够？
1个月后给你升级开R2
还能减100呢，良心",Shana,BKz5oj0qZ9Xlx,/app/user/BKz5oj0qZ9Xlx,"上 bread75 的 真 不怕 背刺 嘛 
 
 韭菜 65 教训 还 不够 ？ 
 1 个 月 后 给 你 升级 开 R2 
 还 能 减 100 呢 ， 良心"
